Season,TeamID,Wins,Games,PPG,OppPPG,Losses,WinPct,PointDiff,HomeWinPct,AwayWinPct,eFG,FTA_Rate,TOV_Rate,ORB_Rate,TRB,Ast,Stl,Blk,PF,SeedNum,Region,ConfAbbrev,POM_Rank,SAG_Rank,RPI_Rank,DOK_Rank,COL_Rank
1985,1102,5,24,63.083333333333336,68.875,19,0.20833333333333334,-5.791666666666664,0.2,0.25,,,,,,,,,,,,wac,,,,,
1985,1103,9,23,61.04347826086956,64.08695652173913,14,0.391304347826087,-3.0434782608695627,0.5384615384615384,0.2,,,,,,,,,,,,ovc,,,,,
1985,1104,21,30,68.5,60.7,9,0.7,7.799999999999997,0.9375,0.45454545454545453,,,,,,,,,,7.0,X,sec,,,,,
1985,1106,10,24,71.625,75.41666666666667,14,0.4166666666666667,-3.7916666666666714,0.8888888888888888,0.09090909090909091,,,,,,,,,,,,swac,,,,,
1985,1108,19,25,83.0,75.04,6,0.76,7.959999999999994,0.8888888888888888,0.6666666666666666,,,,,,,,,,,,swac,,,,,
1985,1109,1,24,53.833333333333336,82.95833333333333,23,0.041666666666666664,-29.124999999999993,0.125,0.0,,,,,,,,,,,,ind,,,,,
1985,1110,7,25,69.44,77.2,18,0.28,-7.760000000000005,0.4444444444444444,0.08333333333333333,,,,,,,,,,,,ecacs,,,,,
1985,1111,10,24,67.125,69.91666666666667,14,0.4166666666666667,-2.7916666666666714,0.5555555555555556,0.25,,,,,,,,,,,,southern,,,,,
1985,1112,18,27,66.51851851851852,59.333333333333336,9,0.6666666666666666,7.185185185185183,0.7857142857142857,0.5833333333333334,,,,,,,,,,10.0,X,pac_ten,,,,,
1985,1113,11,27,67.70370370370371,71.77777777777777,16,0.4074074074074074,-4.074074074074062,0.5833333333333334,0.2727272727272727,,,,,,,,,,,,pac_ten,,,,,
1985,1114,17,30,71.9,69.76666666666667,13,0.5666666666666667,2.13333333333334,0.8,0.47058823529411764,,,,,,,,,,,,a_sun,,,,,
1985,1116,21,33,65.33333333333333,61.696969696969695,12,0.6363636363636364,3.636363636363633,0.9090909090909091,0.3333333333333333,,,,,,,,,,9.0,X,swc,,,,,
1985,1117,11,25,64.04,66.92,14,0.44,-2.8799999999999955,0.5833333333333334,0.36363636363636365,,,,,,,,,,,,southland,,,,,
1985,1119,15,28,66.28571428571429,66.67857142857143,13,0.5357142857142857,-0.3928571428571388,0.8181818181818182,0.25,,,,,,,,,,,,maac,,,,,
1985,1120,18,29,70.34482758620689,66.65517241379311,11,0.6206896551724138,3.6896551724137794,0.6666666666666666,0.45454545454545453,,,,,,,,,,11.0,Z,sec,,,,,
1985,1121,7,26,63.96153846153846,75.96153846153847,19,0.2692307692307692,-12.000000000000007,0.5,0.125,,,,,,,,,,,,ind,,,,,
1985,1122,6,23,63.82608695652174,72.3913043478261,17,0.2608695652173913,-8.565217391304351,0.375,0.16666666666666666,,,,,,,,,,,,ovc,,,,,
1985,1123,13,29,76.72413793103448,75.06896551724138,16,0.4482758620689655,1.655172413793096,0.6923076923076923,0.23076923076923078,,,,,,,,,,,,mac,,,,,
1985,1124,7,24,78.45833333333333,83.04166666666667,17,0.2916666666666667,-4.583333333333343,0.5,0.1111111111111111,,,,,,,,,,,,swc,,,,,
1985,1126,6,25,67.12,79.88,19,0.24,-12.759999999999991,0.3333333333333333,0.1875,,,,,,,,,,,,meac,,,,,
1985,1129,12,25,67.12,65.72,13,0.48,1.4000000000000057,0.5714285714285714,0.36363636363636365,,,,,,,,,,,,big_sky,,,,,
1985,1130,16,26,74.88461538461539,69.61538461538461,10,0.6153846153846154,5.269230769230774,0.7142857142857143,0.5833333333333334,,,,,,,,,,11.0,Y,big_east,,,,,
1985,1131,14,28,68.42857142857143,66.5,14,0.5,1.9285714285714306,0.4444444444444444,0.5625,,,,,,,,,,,,ecacn,,,,,
1985,1132,11,26,67.38461538461539,69.92307692307692,15,0.4230769230769231,-2.538461538461533,0.6153846153846154,0.2222222222222222,,,,,,,,,,,,mac,,,,,
1985,1133,16,28,70.32142857142857,68.78571428571429,12,0.5714285714285714,1.5357142857142776,0.6428571428571429,0.5,,,,,,,,,,,,mvc,,,,,
1985,1134,11,24,68.79166666666667,69.5,13,0.4583333333333333,-0.7083333333333286,0.7272727272727273,0.18181818181818182,,,,,,,,,,,,ind,,,,,
1985,1135,8,26,66.76923076923077,69.65384615384616,18,0.3076923076923077,-2.884615384615387,0.5,0.1875,,,,,,,,,,,,ivy,,,,,
1985,1137,15,25,71.0,68.72,10,0.6,2.280000000000001,0.625,0.5384615384615384,,,,,,,,,,,,ecc,,,,,
1985,1139,16,24,68.16666666666667,67.125,8,0.6666666666666666,1.0416666666666714,0.8333333333333334,0.5454545454545454,,,,,,,,,,,,mw_city,,,,,
1985,1140,15,29,75.0,74.44827586206897,14,0.5172413793103449,0.551724137931032,0.6428571428571429,0.36363636363636365,,,,,,,,,,,,wac,,,,,
1985,1141,6,24,69.29166666666667,75.33333333333333,18,0.25,-6.041666666666657,0.4444444444444444,0.0,,,,,,,,,,,,mac,,,,,
1985,1143,10,25,59.92,62.16,15,0.4,-2.239999999999995,0.5833333333333334,0.18181818181818182,,,,,,,,,,,,pac_ten,,,,,
1985,1144,2,23,59.78260869565217,73.04347826086956,21,0.08695652173913043,-13.26086956521739,0.14285714285714285,0.07142857142857142,,,,,,,,,,,,ind,,,,,
1985,1145,18,27,71.51851851851852,63.44444444444444,9,0.6666666666666666,8.074074074074076,0.7692307692307693,0.5384615384615384,,,,,,,,,,,,ecacn,,,,,
1985,1147,4,24,63.708333333333336,75.25,20,0.16666666666666666,-11.541666666666664,0.18181818181818182,0.18181818181818182,,,,,,,,,,,,a_sun,,,,,
1985,1149,10,23,66.17391304347827,69.21739130434783,13,0.43478260869565216,-3.0434782608695627,0.5714285714285714,0.2857142857142857,,,,,,,,,,,,ind,,,,,
1985,1150,4,25,67.36,78.04,21,0.16,-10.680000000000007,0.23076923076923078,0.0,,,,,,,,,,,,sun_belt,,,,,
1985,1151,19,26,69.65384615384616,65.38461538461539,7,0.7307692307692307,4.269230769230774,0.9166666666666666,0.6,,,,,,,,,,,,southern,,,,,
1985,1152,14,25,72.48,70.4,11,0.56,2.0799999999999983,1.0,0.3888888888888889,,,,,,,,,,,,ind,,,,,
1985,1153,14,27,63.81481481481482,67.14814814814815,13,0.5185185185185185,-3.3333333333333357,0.8181818181818182,0.2727272727272727,,,,,,,,,,,,metro,,,,,
1985,1154,15,25,75.4,75.2,10,0.6,0.20000000000000284,1.0,0.36363636363636365,,,,,,,,,,,,southern,,,,,
1985,1155,15,27,74.48148148148148,71.77777777777777,12,0.5555555555555556,2.7037037037037095,0.7333333333333333,0.3,,,,,,,,,,,,acc,,,,,
1985,1156,18,26,79.53846153846153,72.92307692307692,8,0.6923076923076923,6.615384615384613,0.8461538461538461,0.5384615384615384,,,,,,,,,,,,mid_cont,,,,,
1985,1159,1,22,46.63636363636363,58.04545454545455,21,0.045454545454545456,-11.409090909090914,0.1,0.0,,,,,,,,,,,,ecacn,,,,,
1985,1160,8,25,70.88,77.84,17,0.32,-6.960000000000008,0.6666666666666666,0.0,,,,,,,,,,,,big_eight,,,,,
1985,1161,16,28,68.39285714285714,66.71428571428571,12,0.5714285714285714,1.6785714285714306,0.7692307692307693,0.38461538461538464,,,,,,,,,,,,wac,,,,,
1985,1162,12,25,59.52,61.32,13,0.48,-1.7999999999999972,0.5454545454545454,0.45454545454545453,,,,,,,,,,,,ivy,,,,,
1985,1163,13,28,71.10714285714286,71.17857142857143,15,0.4642857142857143,-0.0714285714285694,0.7272727272727273,0.3,,,,,,,,,,,,big_east,,,,,
1985,1165,12,24,61.375,59.083333333333336,12,0.5,2.2916666666666643,0.7,0.4166666666666667,,,,,,,,,,,,ivy,,,,,
1985,1166,13,25,72.08,74.16,12,0.52,-2.0799999999999983,0.75,0.3076923076923077,,,,,,,,,,,,mvc,,,,,
1985,1168,16,29,69.03448275862068,67.93103448275862,13,0.5517241379310345,1.103448275862064,0.6153846153846154,0.4166666666666667,,,,,,,,,,,,pcaa,,,,,
1985,1171,5,25,62.44,72.8,20,0.2,-10.36,0.3333333333333333,0.08333333333333333,,,,,,,,,,,,ivy,,,,,
1985,1172,8,27,66.55555555555556,69.66666666666667,19,0.2962962962962963,-3.1111111111111143,0.5714285714285714,0.3333333333333333,,,,,,,,,,,,southern,,,,,
1985,1173,19,28,69.53571428571429,64.60714285714286,9,0.6785714285714286,4.928571428571431,0.8823529411764706,0.36363636363636365,,,,,,,,,,9.0,Z,ind,,,,,
1985,1174,11,25,68.4,73.16,14,0.44,-4.759999999999991,0.8,0.25,,,,,,,,,,,,ecc,,,,,
1985,1175,10,25,68.76,72.48,15,0.4,-3.719999999999999,0.75,0.23076923076923078,,,,,,,,,,,,meac,,,,,
1985,1177,18,27,71.66666666666667,64.0,9,0.6666666666666666,7.666666666666671,0.9285714285714286,0.3333333333333333,,,,,,,,,,10.0,W,ind,,,,,
1985,1178,15,27,73.70370370370371,73.44444444444444,12,0.5555555555555556,0.25925925925926663,0.75,0.4166666666666667,,,,,,,,,,,,mw_city,,,,,
1985,1179,9,24,65.20833333333333,68.45833333333333,15,0.375,-3.25,0.5833333333333334,0.1,,,,,,,,,,,,mvc,,,,,
1985,1180,10,28,66.96428571428571,72.21428571428571,18,0.35714285714285715,-5.25,0.36363636363636365,0.38461538461538464,,,,,,,,,,,,ecc,,,,,
1985,1181,22,29,79.24137931034483,67.89655172413794,7,0.7586206896551724,11.34482758620689,0.8,0.6666666666666666,,,,,,,,,,3.0,Y,acc,,,,,
1985,1182,9,27,63.51851851851852,71.11111111111111,18,0.3333333333333333,-7.592592592592595,0.25,0.3,,,,,,,,,,,,a_ten,,,,,
1985,1183,17,27,74.51851851851852,70.44444444444444,10,0.6296296296296297,4.074074074074076,0.8181818181818182,0.5714285714285714,,,,,,,,,,,,mid_cont,,,,,
1985,1184,12,25,64.2,64.68,13,0.48,-0.480000000000004,0.6666666666666666,0.38461538461538464,,,,,,,,,,,,ovc,,,,,
1985,1185,14,27,75.18518518518519,74.29629629629629,13,0.5185185185185185,0.8888888888888999,0.75,0.35714285714285715,,,,,,,,,,,,mac,,,,,
