Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WTeamName,LTeamName,Wins_W,Games_W,PPG_W,OppPPG_W,Losses_W,WinPct_W,PointDiff_W,HomeWinPct_W,AwayWinPct_W,eFG_W,FTA_Rate_W,TOV_Rate_W,ORB_Rate_W,TRB_W,Ast_W,Stl_W,Blk_W,PF_W,SeedNum_W,Region_W,ConfAbbrev_W,POM_Rank_W,SAG_Rank_W,RPI_Rank_W,DOK_Rank_W,COL_Rank_W,Wins_L,Games_L,PPG_L,OppPPG_L,Losses_L,WinPct_L,PointDiff_L,HomeWinPct_L,AwayWinPct_L,eFG_L,FTA_Rate_L,TOV_Rate_L,ORB_Rate_L,TRB_L,Ast_L,Stl_L,Blk_L,PF_L,SeedNum_L,Region_L,ConfAbbrev_L,POM_Rank_L,SAG_Rank_L,RPI_Rank_L,DOK_Rank_L,COL_Rank_L,SeedDiff,WinPctDiff,PointDiffDiff,eFGDiff,TOV_RateDiff
1985,136,1116,63,1234,54,N,0,Arkansas,Iowa,21,33,65.33333333333333,61.696969696969695,12,0.6363636363636364,3.636363636363633,0.9090909090909091,0.3333333333333333,,,,,,,,,,9.0,X,swc,,,,,,20,30,69.73333333333333,59.266666666666666,10,0.6666666666666666,10.466666666666669,0.8333333333333334,0.3333333333333333,,,,,,,,,,8.0,X,big_ten,,,,,,1.0,-0.030303030303030276,-6.830303030303035,,
1985,136,1120,59,1345,58,N,0,Auburn,Purdue,18,29,70.34482758620689,66.65517241379311,11,0.6206896551724138,3.6896551724137794,0.6666666666666666,0.45454545454545453,,,,,,,,,,11.0,Z,sec,,,,,,17,25,69.12,65.32,8,0.68,3.8000000000000114,0.7142857142857143,0.6,,,,,,,,,,6.0,Z,big_ten,,,,,,5.0,-0.05931034482758624,-0.11034482758623199,,
1985,136,1207,68,1250,43,N,0,Georgetown,Lehigh,25,27,75.74074074074075,60.074074074074076,2,0.9259259259259259,15.666666666666671,0.9230769230769231,0.8571428571428571,,,,,,,,,,1.0,W,big_east,,,,,,11,29,65.75862068965517,70.20689655172414,18,0.3793103448275862,-4.448275862068968,0.3333333333333333,0.36363636363636365,,,,,,,,,,16.0,W,ecc,,,,,,-15.0,0.5466155810983397,20.11494252873564,,
1985,136,1229,58,1425,55,N,0,Illinois St,USC,20,27,71.5925925925926,65.62962962962963,7,0.7407407407407407,5.962962962962962,0.7857142857142857,0.6,,,,,,,,,,9.0,Y,mvc,,,,,,19,28,68.39285714285714,64.60714285714286,9,0.6785714285714286,3.7857142857142776,0.6428571428571429,0.7272727272727273,,,,,,,,,,8.0,Y,pac_ten,,,,,,1.0,0.062169312169312096,2.1772486772486843,,
1985,136,1242,49,1325,38,N,0,Kansas,Ohio,23,30,76.03333333333333,70.4,7,0.7666666666666667,5.633333333333326,1.0,0.6,,,,,,,,,,3.0,Z,big_eight,,,,,,20,27,67.55555555555556,63.0,7,0.7407407407407407,4.555555555555557,1.0,0.5833333333333334,,,,,,,,,,14.0,Z,mac,,,,,,-11.0,0.02592592592592602,1.0777777777777686,,
1985,136,1246,66,1449,58,N,0,Kentucky,Washington,16,28,65.60714285714286,63.25,12,0.5714285714285714,2.357142857142861,0.7857142857142857,0.3333333333333333,,,,,,,,,,12.0,X,sec,,,,,,22,31,65.12903225806451,58.58064516129032,9,0.7096774193548387,6.548387096774192,0.8461538461538461,0.6,,,,,,,,,,5.0,X,pac_ten,,,,,,7.0,-0.13824884792626735,-4.191244239631331,,
1985,136,1256,78,1338,54,N,0,Louisiana Tech,Pittsburgh,26,28,77.5,64.82142857142857,2,0.9285714285714286,12.67857142857143,1.0,0.9166666666666666,,,,,,,,,,5.0,Y,southland,,,,,,15,26,70.23076923076923,67.65384615384616,11,0.5769230769230769,2.576923076923066,0.7333333333333333,0.4444444444444444,,,,,,,,,,12.0,Y,big_east,,,,,,-7.0,0.35164835164835173,10.101648351648365,,
1985,136,1260,59,1233,58,N,0,Loyola-Chicago,Iona,25,30,85.83333333333333,79.06666666666666,5,0.8333333333333334,6.766666666666666,1.0,0.6666666666666666,,,,,,,,,,4.0,W,mw_city,,,,,,25,29,74.44827586206897,67.10344827586206,4,0.8620689655172413,7.344827586206904,1.0,0.5555555555555556,,,,,,,,,,13.0,W,maac,,,,,,-9.0,-0.028735632183907955,-0.5781609195402382,,
1985,136,1314,76,1292,57,N,0,North Carolina,MTSU,23,31,74.74193548387096,67.09677419354838,8,0.7419354838709677,7.6451612903225765,0.7777777777777778,0.625,,,,,,,,,,2.0,Z,acc,,,,,,13,26,67.23076923076923,67.11538461538461,13,0.5,0.1153846153846132,0.7692307692307693,0.16666666666666666,,,,,,,,,,15.0,Z,ovc,,,,,,-13.0,0.24193548387096775,7.529776674937963,,
1985,136,1323,79,1333,70,N,0,Notre Dame,Oregon St,20,28,69.85714285714286,62.285714285714285,8,0.7142857142857143,7.5714285714285765,0.875,0.4444444444444444,,,,,,,,,,7.0,Z,ind,,,,,,21,29,61.89655172413793,57.241379310344826,8,0.7241379310344828,4.655172413793103,0.6923076923076923,0.6923076923076923,,,,,,,,,,10.0,Z,pac_ten,,,,,,-3.0,-0.009852216748768461,2.9162561576354733,,
1985,136,1326,75,1235,64,N,0,Ohio St,Iowa St,19,28,77.78571428571429,73.10714285714286,9,0.6785714285714286,4.678571428571431,0.8571428571428571,0.4,,,,,,,,,,4.0,Y,big_ten,,,,,,17,29,71.93103448275862,68.17241379310344,12,0.5862068965517241,3.7586206896551744,0.7692307692307693,0.4444444444444444,,,,,,,,,,13.0,Y,big_eight,,,,,,-9.0,0.09236453201970451,0.9199507389162562,,
